timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-23T15:52:52,みや,ime_hira,1,L1-01,おはよう,おはよう,,o a o u,,9294.0,8263.0,12,6,384.4,-1,1
2026-06-23T15:52:58,みや,ime_hira,1,L1-02,パソコン,ぱそこん,,a o o n,,478.0,2013.0,6,0,273.4,-1,1
2026-06-23T15:53:03,みや,ime_hira,1,L1-03,電話,でんわ,,e n a,,622.0,1312.0,4,0,278.7,-1,1
2026-06-23T15:53:09,みや,ime_hira,2,L2-01,何を食べようか,なにをたべようか,,a i o a e o u a,,528.0,2877.0,9,0,304.2,-1,1
2026-06-23T15:53:19,みや,ime_hira,2,L2-02,気をつけてね,きをつけてね,,i o u e e e,,4534.0,2228.0,6,0,330.2,-1,1
2026-06-23T15:53:28,みや,ime_hira,2,L2-03,お腹がすいた,おなかがすいた,,o a a a u i a,,604.0,4362.0,12,0,346.9,-1,1
2026-06-23T15:53:37,みや,ime_hira,3,L3-01,来週は寒くなりそうだ,らいしゅうはさむくなりそうだ,,a i u u a a u u a i o u a,,580.0,5361.0,16,0,318.7,-1,1
2026-06-23T15:53:44,みや,ime_hira,3,L3-02,あなたはどこにいるの,あなたはどこにいるの,,a a a a o o i i u o,,502.0,3577.0,11,0,289.8,-1,1
2026-06-23T15:53:54,みや,ime_hira,3,L3-03,車で行こうか、電車で行こうか,くるまでいこうか、でんしゃでいこうか,,u u a e i o u a 、 e n a e i o u a,,510.0,6664.0,22,0,296.9,-1,1
2026-06-23T15:54:28,みや,vowel_noinfer,1,L1-01,おはよう,oaou,oaou,o a o u,0.0,9837.0,2861.0,4,0,567.3,-1,1
2026-06-23T15:54:34,みや,vowel_noinfer,1,L1-02,パソコン,aoon,aoon,a o o n,0.0,1083.0,1612.0,4,0,361.3,-1,1
2026-06-23T15:54:40,みや,vowel_noinfer,1,L1-03,電話,ena,ena,e n a,0.0,499.0,2246.0,3,0,842.0,-1,1
2026-06-23T15:54:50,みや,vowel_noinfer,2,L2-01,何を食べようか,aioaeoua,aioaeoua,a i o a e o u a,0.0,2115.0,4646.0,8,0,602.3,-1,1
2026-06-23T15:54:59,みや,vowel_noinfer,2,L2-02,気をつけてね,ioueee,ioueee,i o u e e e,0.0,949.0,5064.0,6,0,690.2,-1,1
2026-06-23T15:55:06,みや,vowel_noinfer,2,L2-03,お腹がすいた,oaaauia,oaaauia,o a a a u i a,0.0,617.0,3030.0,7,0,442.0,-1,1
2026-06-23T15:55:13,みや,vowel_noinfer,3,L3-01,来週は寒くなりそうだ,auuaioua,auuaioua,a i u u a a u u a i o u a,0.38461538461538464,1348.0,3112.0,8,0,378.6,-1,0
2026-06-23T15:55:30,みや,vowel_noinfer,3,L3-01,来週は寒くなりそうだ,aiuiaauuaioua,aiuiaauuaioua,a i u u a a u u a i o u a,0.07692307692307693,1881.0,6431.0,13,0,500.1,-1,0
2026-06-23T15:55:42,みや,vowel_noinfer,3,L3-01,来週は寒くなりそうだ,aiuuaauuaioua,aiuuaauuaioua,a i u u a a u u a i o u a,0.0,1398.0,6731.0,13,0,530.7,-1,1
2026-06-23T15:55:50,みや,vowel_noinfer,3,L3-02,あなたはどこにいるの,aaaaooiiuo,aaaaooiiuo,a a a a o o i i u o,0.0,578.0,4329.0,10,0,431.6,-1,1
